block_number,timestamp,gas_used,gas_limit,base_fee,transaction_count,priority_fee,mempool_size,gas_price_gwei,priority_p25,priority_p50,priority_p75
24688144,2026-03-19 01:09:47,28002874,30000000,122112932,186,1000000,,0.123113,1.5e-08,0.001,0.016557947
24688145,2026-03-19 01:09:59,16711700,30000000,135344758,111,11190778,,0.146536,0.00021492,0.011190778,0.1
24688146,2026-03-19 01:10:11,10891877,30000000,137275338,72,11190778,,0.148466,1.5e-08,0.011190778,0.1
24688147,2026-03-19 01:10:23,10095531,30000000,132575805,67,20065378,,0.152641,0.003,0.020065378,0.867424195
24688148,2026-03-19 01:10:35,24231649,30000000,127157356,161,6750000,,0.133907,1.5e-08,0.00675,0.079
24688149,2026-03-19 01:10:47,11509243,30000000,136939623,76,15909098,,0.152849,0.001395747,0.015909098,0.1
24688150,2026-03-19 01:10:59,8152808,30000000,132956100,54,5021120,,0.137977,2.2e-08,0.00502112,0.06925837
24688151,2026-03-19 01:11:11,9541643,30000000,125369634,63,17095812,,0.142465,0.01253698,0.017095812,0.149181072
24688152,2026-03-19 01:11:23,12905952,30000000,119667033,86,11122095,,0.130789,0.000149585,0.011122095,0.079
24688153,2026-03-19 01:11:35,28098570,30000000,117578796,187,100000,,0.117679,1.5e-08,0.0001,0.045401747
24688154,2026-03-19 01:11:47,7669652,30000000,130413080,51,1000000,,0.131413,1.5e-08,0.001,0.049087469
24688155,2026-03-19 01:11:59,14429807,30000000,122446637,96,47090386,,0.169537,0.001,0.047090386,0.11662125
24688156,2026-03-19 01:12:11,12378160,30000000,121864819,82,2197873,,0.124063,1.5e-08,0.002197873,0.079
24688157,2026-03-19 01:12:23,10123720,30000000,119202237,67,17551750,,0.136754,0.001,0.01755175,0.079
24688158,2026-03-19 01:12:35,28268578,30000000,114358376,188,3600,,0.114362,1.5e-08,3.6e-06,0.01446042
24688159,2026-03-19 01:12:47,9480586,30000000,127003151,63,2610315,,0.129613,1.5e-08,0.002610315,0.02
24688160,2026-03-19 01:12:59,9944427,30000000,121161627,66,10000001,,0.131162,1.5e-08,0.010000001,0.1
24688161,2026-03-19 01:13:11,11392738,30000000,116057116,75,10000001,,0.126057,1.5e-08,0.010000001,0.1
24688162,2026-03-19 01:13:23,13129263,30000000,112568380,87,9878272,,0.122447,0.0001,0.009878272,0.068324663
24688163,2026-03-19 01:13:35,11164027,30000000,110813499,74,10000000,,0.120813,0.001395747,0.01,0.1
24688164,2026-03-19 01:13:47,15564843,30000000,107271187,103,15,,0.107271,1.5e-08,1.5e-08,0.000200012
24688165,2026-03-19 01:13:59,16459518,30000000,107776115,109,1000000,,0.108776,1.5e-08,0.001,0.031676447
24688166,2026-03-19 01:14:11,20483473,30000000,109086958,136,15,,0.109087,1.5e-08,1.5e-08,0.016688315
24688167,2026-03-19 01:14:23,7247752,30000000,114071754,48,13090436,,0.127162,0.001395747,0.013090436,0.020648408
24688168,2026-03-19 01:14:35,26483615,30000000,106702483,176,100000,,0.106802,1.5e-08,0.0001,0.013090436
24688169,2026-03-19 01:14:47,9186667,30000000,116913568,61,27393829,,0.144307,0.001395747,0.027393829,0.2
24688170,2026-03-19 01:14:59,8665413,30000000,111249756,57,12100003,,0.12335,0.001395747,0.012100003,0.188750244
24688171,2026-03-19 01:15:11,16011007,30000000,105377080,106,15,,0.105377,1.5e-08,1.5e-08,1.5e-08
24688172,2026-03-19 01:15:23,4521128,30000000,106264888,30,116234654,,0.2225,0.0,0.116234654,1.0
24688173,2026-03-19 01:15:35,16943541,30000000,96985421,112,12100003,,0.109085,0.001,0.012100003,0.1
24688174,2026-03-19 01:15:47,20469815,30000000,98556214,136,15,,0.098556,1.5e-08,1.5e-08,0.01
24688175,2026-03-19 01:15:59,16486748,30000000,103048582,109,3556132,,0.106605,1.5e-08,0.003556132,0.015272176
24688176,2026-03-19 01:16:11,27017475,30000000,104325309,180,4086543,,0.108412,1.5e-08,0.004086543,0.087286878
24688177,2026-03-19 01:16:23,8106272,30000000,114773032,54,1395747,,0.116169,1.5e-08,0.001395747,0.089
24688178,2026-03-19 01:16:35,11436685,30000000,108179582,76,1395747,,0.109575,1.5e-08,0.001395747,0.079
