block_number,timestamp,gas_used,gas_limit,base_fee,transaction_count,priority_fee,mempool_size,gas_price_gwei
24685174,2026-03-18 15:09:59,31149376,60000000,613538076,322,789866829,,1.403405
24685175,2026-03-18 15:10:11,13114111,60000000,616476350,147,1265854451,,1.882331
24685176,2026-03-18 15:10:23,22754119,60000000,573102387,227,681669516,,1.254772
24685177,2026-03-18 15:10:35,50916688,60000000,555799755,634,346985694,,0.902785
24685178,2026-03-18 15:10:47,27413179,60000000,604239296,416,443042302,,1.047282
24685179,2026-03-18 15:10:59,19498836,60000000,597726551,141,1230529154,,1.828256
24685180,2026-03-18 15:11:11,19227303,60000000,571573116,236,936607652,,1.508181
24685181,2026-03-18 15:11:23,57906322,59941408,545917350,759,359763337,,0.905681
24685182,2026-03-18 15:11:35,28235269,59999943,609523374,325,528059651,,1.137583
24685183,2026-03-18 15:11:47,17721318,60000000,605041591,183,899204090,,1.504246
24685184,2026-03-18 15:11:59,31226028,60000000,574086953,569,333130825,,0.907218
24685185,2026-03-18 15:12:11,26711726,60000000,577019647,398,793145100,,1.370165
24685186,2026-03-18 15:12:23,22330927,59941408,569113820,250,803519795,,1.372634
24685187,2026-03-18 15:12:35,30418158,59882873,550979851,403,557069365,,1.108049
24685188,2026-03-18 15:12:47,27275198,59941351,552076425,322,533823021,,1.085899
24685189,2026-03-18 15:12:59,33597940,59999886,545869903,493,635954555,,1.181824
24685190,2026-03-18 15:13:11,24825091,60000000,554053411,370,616460466,,1.170514
24685191,2026-03-18 15:13:23,13117733,60000000,542106845,162,990420360,,1.532527
24685192,2026-03-18 15:13:35,48835824,60000000,503973543,734,395053865,,0.899027
24685193,2026-03-18 15:13:47,9223506,60000000,543526696,133,784821553,,1.328348
24685194,2026-03-18 15:13:59,12660042,59941408,496474283,120,853552271,,1.350027
24685195,2026-03-18 15:14:11,59952475,59999943,460629703,601,704080135,,1.16471
24685196,2026-03-18 15:14:23,27441786,60000000,518117312,306,726066359,,1.244184
24685197,2026-03-18 15:14:35,32127752,60000000,512594583,294,595500670,,1.108095
