block_number,timestamp,gas_used,gas_limit,base_fee,transaction_count,priority_fee,mempool_size,gas_price_gwei,priority_p25,priority_p50,priority_p75
24681485,2026-03-18 02:58:23,7897033,30000000,44142482,52,1000000,,0.045142,1.5e-08,0.001,0.005
24681486,2026-03-18 02:58:35,18730356,30000000,41529628,124,1627404,,0.043157,0.0001,0.001627404,0.027329747
24681487,2026-03-18 02:58:47,15026754,30000000,42820630,100,2093620,,0.044914,1.5e-08,0.00209362,0.027329747
24681488,2026-03-18 02:58:59,11383535,30000000,42830176,75,4272528,,0.047103,1.5e-08,0.004272528,0.009081871
24681489,2026-03-18 02:59:11,15351283,30000000,41539395,102,10000000,,0.051539,0.001281235,0.01,0.1
24681490,2026-03-18 02:59:23,19477436,30000000,41660995,129,1000000,,0.042661,1.5e-08,0.001,0.005192425
24681491,2026-03-18 02:59:35,3583316,30000000,43215448,23,1000000000,,1.043215,0.043998147,1.0,1.998323957
24681492,2026-03-18 02:59:47,13240826,30000000,39103973,88,10769612,,0.049874,0.005,0.010769612,0.07465667
24681493,2026-03-18 02:59:59,10688197,30000000,38530718,71,24091417,,0.062622,0.005,0.024091417,1.440447811
24681494,2026-03-18 03:00:11,29993988,30000000,37146245,199,1395747,,0.038542,1.5e-08,0.001395747,0.01
24681495,2026-03-18 03:00:23,14528133,30000000,41787664,96,5000000,,0.046788,3.402e-05,0.005,0.079
24681496,2026-03-18 03:00:35,9126289,30000000,41623346,60,8521862,,0.050145,0.001395747,0.008521862,0.05
24681497,2026-03-18 03:00:47,19722465,30000000,39585984,131,4643281,,0.044229,1.5e-08,0.004643281,0.057348725
24681498,2026-03-18 03:00:59,6085138,30000000,41143846,40,10000001,,0.051144,0.000939,0.010000001,0.958856154
24681499,2026-03-18 03:01:11,14736702,30000000,38087249,98,5000000,,0.043087,2e-08,0.005,0.007879197
24681500,2026-03-18 03:01:23,29993806,30000000,38003680,199,1395747,,0.039399,1e-08,0.001395747,0.01
24681501,2026-03-18 03:01:35,12647245,30000000,42752178,84,5000000,,0.047752,0.001,0.005,0.014948378
24681502,2026-03-18 03:01:47,4885487,30000000,41913967,32,5000000,,0.046914,0.005,0.005,0.010000001
24681503,2026-03-18 03:01:59,2090097,30000000,38381139,13,1000000000,,1.038381,0.22,1.0,2.0
24681504,2026-03-18 03:02:11,29990201,30000000,34252000,199,1395747,,0.035648,1e-08,0.001395747,0.013480263
24681505,2026-03-18 03:02:23,29917191,30000000,38530703,199,5980697,,0.044511,2e-08,0.005980697,0.006469297
24681506,2026-03-18 03:02:35,12417971,30000000,43320452,82,5000000,,0.04832,1.2e-08,0.005,0.064812809
24681507,2026-03-18 03:02:47,8288020,30000000,42388331,55,10000000,,0.052388,0.001,0.01,0.1
24681508,2026-03-18 03:02:59,5830980,30000000,40017418,38,5000000,,0.045017,0.002986272,0.005,0.012432516
24681509,2026-03-18 03:03:11,14020736,30000000,36959748,93,8040252,,0.045,0.005,0.008040252,0.032474189
24681510,2026-03-18 03:03:23,19977691,30000000,36658137,133,5000000,,0.041658,0.001,0.005,0.022505314
24681511,2026-03-18 03:03:35,10079655,30000000,38178744,67,15000000,,0.053179,0.005,0.015,0.1
24681512,2026-03-18 03:03:47,9155959,30000000,36613306,61,7405864,,0.044019,0.00119198,0.007405864,0.023386694
24681513,2026-03-18 03:03:59,29998163,30000000,34830226,199,20,,0.03483,1e-08,2e-08,0.001
24681514,2026-03-18 03:04:11,5370302,30000000,39183471,35,5000000,,0.044183,0.005,0.005,0.010000001
24681515,2026-03-18 03:04:23,24716020,30000000,36039097,164,8960903,,0.045,0.005,0.008960903,0.041828347
24681516,2026-03-18 03:04:35,3031726,30000000,38957068,20,13299634,,0.052257,0.0,0.013299634,0.109656875
24681517,2026-03-18 03:04:47,17440811,30000000,35071661,116,5000000,,0.040072,0.001,0.005,0.01
24681518,2026-03-18 03:04:59,16437982,30000000,35785021,109,15,,0.035785,1e-08,1.5e-08,0.005
24681519,2026-03-18 03:05:11,17292385,30000000,36213839,115,5000000,,0.041214,0.001,0.005,0.009817716
24681520,2026-03-18 03:05:23,13344214,30000000,36905639,88,5000000,,0.041906,0.001,0.005,0.011327841
24681521,2026-03-18 03:05:35,19708559,30000000,36396408,131,1327841,,0.037724,1e-08,0.001327841,0.007750184
24681522,2026-03-18 03:05:47,17468950,30000000,37824530,116,1000000,,0.038825,1e-08,0.001,0.005
24681523,2026-03-18 03:05:59,19168894,30000000,38602754,127,11041941,,0.049645,0.00300424,0.011041941,0.061397246
24681524,2026-03-18 03:06:11,4226199,30000000,39943843,28,5000000,,0.044944,0.005,0.005,0.05
24681525,2026-03-18 03:06:23,9538167,30000000,36357618,63,10000000,,0.046358,0.005300529,0.01,0.1
24681526,2026-03-18 03:06:35,29990876,30000000,34702792,199,1735139,,0.036438,0.000297208,0.001735139,0.012788496
24681527,2026-03-18 03:06:47,24006502,30000000,39038002,160,1000000,,0.040038,1e-08,0.001,0.006509411
24681528,2026-03-18 03:06:59,7288206,30000000,41967967,48,3479068,,0.045447,1e-08,0.003479068,0.005
24681529,2026-03-18 03:07:11,19031254,30000000,39270898,126,5000000,,0.044271,0.001395747,0.005,0.023681067
24681530,2026-03-18 03:07:23,4160095,30000000,40590156,27,11000000,,0.05159,0.001,0.011,0.11
24681531,2026-03-18 03:07:35,13774362,30000000,36923545,91,5000000,,0.041924,0.001249537,0.005,0.039410875
24681532,2026-03-18 03:07:47,5697528,30000000,36546421,37,39410875,,0.075957,0.001,0.039410875,0.235809598
24681533,2026-03-18 03:07:59,29972368,30000000,33713321,199,4568303,,0.038282,3e-08,0.004568303,0.010000001
24681534,2026-03-18 03:08:11,18100114,30000000,37919723,120,6329010,,0.044249,0.000640422,0.00632901,0.032281305
24681535,2026-03-18 03:08:23,9212360,30000000,38899351,61,4550367,,0.04345,0.00015,0.004550367,1.0
24681536,2026-03-18 03:08:35,29997017,30000000,37023223,199,4568303,,0.041592,1e-08,0.004568303,0.015
24681537,2026-03-18 03:08:47,10312824,30000000,41650205,68,5000000,,0.04665,0.001395747,0.005,0.035380626
24681538,2026-03-18 03:08:59,13888773,30000000,40023357,92,3709368,,0.043733,1.5e-08,0.003709368,0.008600844
24681539,2026-03-18 03:09:11,9032913,30000000,39652732,60,5206276,,0.044859,0.005,0.005206276,0.5
24681540,2026-03-18 03:09:23,6626256,30000000,37680972,44,5000000,,0.042681,0.003709368,0.005,0.01
24681541,2026-03-18 03:09:35,23158169,30000000,35051549,154,4710122,,0.039762,0.0001,0.004710122,0.064948451
24681542,2026-03-18 03:09:47,15935601,30000000,37434519,106,20,,0.037435,1e-08,2e-08,0.005
24681543,2026-03-18 03:09:59,18464903,30000000,37726383,123,10,,0.037726,1e-08,1e-08,0.003722697
24681544,2026-03-18 03:10:11,21532326,30000000,38815701,143,4710122,,0.043526,0.001,0.004710122,0.010923195
24681545,2026-03-18 03:10:23,22450961,30000000,40928674,149,3088772,,0.044017,1.5e-08,0.003088772,0.029258009
24681546,2026-03-18 03:10:35,19740090,30000000,43469990,131,5000000,,0.04847,0.001200007,0.005,0.05
24681547,2026-03-18 03:10:47,15288822,30000000,45187087,101,5000000,,0.050187,0.000823019,0.005,0.020017913
24681548,2026-03-18 03:10:59,10674880,30000000,45295845,71,7037409,,0.052333,0.001,0.007037409,0.079
24681549,2026-03-18 03:11:11,13718755,30000000,43663263,91,5000000,,0.048663,1.5e-08,0.005,0.017039352
24681550,2026-03-18 03:11:23,15341697,30000000,43197069,102,5000000,,0.048197,0.001,0.005,0.073387466
24681551,2026-03-18 03:11:35,12044977,30000000,43320071,80,6000000,,0.04932,0.001583892,0.006,0.056679929
24681552,2026-03-18 03:11:47,1460988,30000000,42253307,9,1000000000,,1.042253,0.008730017,1.0,2.0
24681553,2026-03-18 03:11:59,23386704,30000000,37486074,155,6900000,,0.044386,0.001,0.0069,0.044186488
24681554,2026-03-18 03:12:11,16734676,30000000,40105945,111,5415010,,0.045521,0.0001,0.00541501,0.05
24681555,2026-03-18 03:12:23,15785009,30000000,40685702,105,5000000,,0.045686,0.00142555,0.005,0.059314298
24681556,2026-03-18 03:12:35,16895583,30000000,40951857,112,3912415,,0.044864,1.5e-08,0.003912415,0.011185884
24681557,2026-03-18 03:12:47,7702145,30000000,41598754,51,5000000,,0.046599,2e-08,0.005,0.039810394
24681558,2026-03-18 03:12:59,5850350,30000000,39068907,39,112931093,,0.152,0.006,0.112931093,1.560931093
24681559,2026-03-18 03:13:11,7508201,30000000,36090017,50,50000000,,0.08609,0.002623314,0.05,1.0
24681560,2026-03-18 03:13:23,28735519,30000000,33836858,191,5199845,,0.039037,0.001395747,0.005199845,0.032343051
24681561,2026-03-18 03:13:35,1530317,30000000,37709914,10,1000000000,,1.03771,0.5,1.0,2.0
24681562,2026-03-18 03:13:47,19815531,30000000,33477076,132,7813781,,0.041291,0.001240685,0.007813781,0.016710021
24681563,2026-03-18 03:13:59,18076739,30000000,34820491,120,7030185,,0.041851,0.001227493,0.007030185,0.054657149
24681564,2026-03-18 03:14:11,11158512,30000000,35713270,74,5707505,,0.041421,0.001,0.005707505,0.019523937
24681565,2026-03-18 03:14:23,22437151,30000000,34570003,149,429997,,0.035,1e-05,0.000429997,0.001347765
24681566,2026-03-18 03:14:35,17129156,30000000,36712522,114,10,,0.036713,1e-08,1e-08,0.005
24681567,2026-03-18 03:14:47,12143085,30000000,37363911,80,10783937,,0.048148,0.003030863,0.010783937,0.253540463
24681568,2026-03-18 03:14:59,11275559,30000000,36474366,75,5853753,,0.042328,0.001,0.005853753,0.063525634
24681569,2026-03-18 03:15:11,6263103,30000000,35342311,41,23647416,,0.05899,0.007846421,0.023647416,0.759231693
24681570,2026-03-18 03:15:23,20842960,30000000,32769127,138,3444153,,0.036213,0.00105,0.003444153,0.013617655
24681571,2026-03-18 03:15:35,23880244,30000000,34364699,159,635301,,0.035,1e-08,0.000635301,0.005
24681572,2026-03-18 03:15:47,13682463,30000000,36907756,91,5000000,,0.041908,0.001,0.005,0.01
